place_type,place_name,link_name,condo_link
University/College,University of the Thai Chamber of Commerce,university-of-the-thai-chamber-of-commerce,https://propertyhub.in.th/en/listings/condo-for-sale-centric-ratchada-sutthisan-1-bedroom-20th-floor-near-esplanade-ratchada-department-store--a3840921---3900354
University/College,University of the Thai Chamber of Commerce,university-of-the-thai-chamber-of-commerce,https://propertyhub.in.th/en/listings/for-sale-supalai-elite-phayathai-1-bedroom-9th-floor-near-bts-phaya-thai-and-airport-link-ratchaprarop--a9ed09c3---3901944
University/College,University of the Thai Chamber of Commerce,university-of-the-thai-chamber-of-commerce,https://propertyhub.in.th/en/listings/condo-for-sale-ideo-phahon-chatuchak-studio-14th-floor-near-bts-saphan-kwai--b19f0983---3901968
University/College,University of the Thai Chamber of Commerce,university-of-the-thai-chamber-of-commerce,https://propertyhub.in.th/en/listings/sell-noble-reform-2bed-73sqm-13-95mb---3724214
University/College,University of the Thai Chamber of Commerce,university-of-the-thai-chamber-of-commerce,https://propertyhub.in.th/en/listings/sell-m-phayathai-1bed-49sqm-9-3mb-unblock-view---3708017
University/College,University of the Thai Chamber of Commerce,university-of-the-thai-chamber-of-commerce,https://propertyhub.in.th/en/listings/condo-for-sale-quinn-ratchada-17-1-bedroom-19th-floor-building-b-near-mrt-sutthisan--c2810a3c---3903784
University/College,University of the Thai Chamber of Commerce,university-of-the-thai-chamber-of-commerce,https://propertyhub.in.th/en/listings/condo-for-sale-the-kris-extra-5-studo-8th-floor-near-robinson-ratchada--af710971---3903776
University/College,University of the Thai Chamber of Commerce,university-of-the-thai-chamber-of-commerce,https://propertyhub.in.th/en/listings/condo-for-sale-grand-park-view-asoke-1-bedroom-size-32-sqm-11th-floor-near-bts-asoke-line-id-197mqixl---3868923
University/College,University of the Thai Chamber of Commerce,university-of-the-thai-chamber-of-commerce,https://propertyhub.in.th/en/listings/condo-for-sale-chateau-in-town-ratchada-10-2-bedrooms-5th-floor-near-mrt-thailand-cultural-center-line-id-197mqixl---3868941
University/College,University of the Thai Chamber of Commerce,university-of-the-thai-chamber-of-commerce,https://propertyhub.in.th/en/listings/condo-for-sale-wire-ratchada-19-1-bedroom-8th-floor-near-ihi-international-hotel-management-institute-line-id-197mqixl---3868949
University/College,University of the Thai Chamber of Commerce,university-of-the-thai-chamber-of-commerce,https://propertyhub.in.th/en/listings/sale-tc-green-rama-9-39-sqm-1-bedroom-1-bathroom-near-mrt-rama-9-line-id-197mqixl---3874277
University/College,University of the Thai Chamber of Commerce,university-of-the-thai-chamber-of-commerce,https://propertyhub.in.th/en/listings/condo-for-sale-life-ratchadaphisek-2-bedrooms-20th-floor-building-a-near-mrt-huai-khwang--b0c90a0d---3884764
University/College,University of the Thai Chamber of Commerce,university-of-the-thai-chamber-of-commerce,https://propertyhub.in.th/en/listings/condo-for-sale-tc-green-rama-9-studo-floor-28-building-b-near-central-plaza-rama-9--a1e7090d---3893616
University/College,University of the Thai Chamber of Commerce,university-of-the-thai-chamber-of-commerce,https://propertyhub.in.th/en/listings/condo-for-sale-tc-green-rama-9-1-bedroom-6th-floor-building-d-near-central-plaza-rama-9--a4c70963---3896984
University/College,University of the Thai Chamber of Commerce,university-of-the-thai-chamber-of-commerce,https://propertyhub.in.th/en/listings/condo-for-sale-m-jatujak-1-bedroom-31st-floor-near-bts-mo-chit--ab8f0926---3902107
University/College,University of the Thai Chamber of Commerce,university-of-the-thai-chamber-of-commerce,https://propertyhub.in.th/en/listings/nice-room-condo-for-sale-chateau-in-town-phaholyothin-11-1-bedroom-8th-floor-near-bts-saphan-khwai--b30a0941---3884752
University/College,University of the Thai Chamber of Commerce,university-of-the-thai-chamber-of-commerce,https://propertyhub.in.th/en/listings/sell-​​ideo-mobi-rama-9-duplex-48-square-meters-1-bedroom-27th-floor-city-view--afa30985---3890187
University/College,University of the Thai Chamber of Commerce,university-of-the-thai-chamber-of-commerce,https://propertyhub.in.th/en/listings/condo-for-sale-the-seed-ratchada-huay-kwang-1-bedroom-5th-floor-building-b-near-mrt-huai-khwang--bcb10a4d---3890204
University/College,University of the Thai Chamber of Commerce,university-of-the-thai-chamber-of-commerce,https://propertyhub.in.th/en/listings/condo-for-sale-d-memoria-phahonyothin-8-1-bedroom-4th-floor-near-bts-ari--ad8609aa---3890213
University/College,University of the Thai Chamber of Commerce,university-of-the-thai-chamber-of-commerce,https://propertyhub.in.th/en/listings/condo-for-sale-a-space-play-ratchada-sutthisan-1-bedroom-4th-floor-building-a-near-mrt-sutthisan--9f6908cc---3891978
University/College,University of the Thai Chamber of Commerce,university-of-the-thai-chamber-of-commerce,https://propertyhub.in.th/en/listings/condo-for-sale-noble-revolve-ratchada-2-2-bedrooms-6th-floor-near-mrt-thailand-cultural-center--b75c09d9---3895328
University/College,University of the Thai Chamber of Commerce,university-of-the-thai-chamber-of-commerce,https://propertyhub.in.th/en/listings/condo-for-sale-supalai-premier-asoke-1-bedroom-28th-floor-near-mrt-phetchaburi-150-meters--9dff08b3---3896992
University/College,University of the Thai Chamber of Commerce,university-of-the-thai-chamber-of-commerce,https://propertyhub.in.th/en/listings/condo-for-sale-life-ladprao-1-bedroom-16th-floor-near-bts-lat-phrao-intersection--ada50932---3898516
University/College,University of the Thai Chamber of Commerce,university-of-the-thai-chamber-of-commerce,https://propertyhub.in.th/en/listings/condo-for-sale-a-space-id-asoke-ratchada-2-bedrooms-22nd-floor-near-the-stock-exchange-of-thailand--a92408e4---3898530
University/College,University of the Thai Chamber of Commerce,university-of-the-thai-chamber-of-commerce,https://propertyhub.in.th/en/listings/condo-for-sale-the-parkland-grand-asoke-phetchaburi-1-bedroom-24th-floor-near-don-bosco-school--ab520913---3898535
University/College,University of the Thai Chamber of Commerce,university-of-the-thai-chamber-of-commerce,https://propertyhub.in.th/en/listings/condo-for-sale-ideo-mobi-phayathai-studio-floor-12a-near-bts-phayathai--c50f0a29---3902123
University/College,University of the Thai Chamber of Commerce,university-of-the-thai-chamber-of-commerce,https://propertyhub.in.th/en/listings/for-sale-emerald-residence-ratchada-1-bedroom-3rd-floor-building-c-near-huai-khwang-store--be150a0b---3902154
University/College,University of the Thai Chamber of Commerce,university-of-the-thai-chamber-of-commerce,https://propertyhub.in.th/en/listings/condo-for-sale-the-line-jatujak-1-bedrooom-17th-fl-33-sqm-mrt-jutujak-and-bts-mo-chit-line-id-197mqixl---3867223
University/College,University of the Thai Chamber of Commerce,university-of-the-thai-chamber-of-commerce,https://propertyhub.in.th/en/listings/condo-for-sale-ideo-q-victory-2-bedrooms-24th-floor-near-century-mall--b3020950---3884783
University/College,University of the Thai Chamber of Commerce,university-of-the-thai-chamber-of-commerce,https://propertyhub.in.th/en/listings/condo-for-sale-the-line-asoke-ratchada-1-bedroom-14th-floor-near-fortune-town--9b2f08c0---3891982
University/College,University of the Thai Chamber of Commerce,university-of-the-thai-chamber-of-commerce,https://propertyhub.in.th/en/listings/condo-for-sale-life-asoke-rama-9-2-bedrooms-11th-floor-building-a-near-mrt-rama-9--a31c08e5---3893592
University/College,University of the Thai Chamber of Commerce,university-of-the-thai-chamber-of-commerce,https://propertyhub.in.th/en/listings/condo-for-sale-ables-ladprao-27-studio-8th-floor-building-a-near-mrt-lat-phrao--a89608d8---3898496
University/College,University of the Thai Chamber of Commerce,university-of-the-thai-chamber-of-commerce,https://propertyhub.in.th/en/listings/condo-for-sale-rhythm-ratchada-1-bedroom-21st-floor-building-b-near-mrt-ratchadaphisek--ab48091b---3898542
University/College,University of the Thai Chamber of Commerce,university-of-the-thai-chamber-of-commerce,https://propertyhub.in.th/en/listings/condo-for-sale-life-asoke-1-bedroom-29th-floor-near-mrt-phetchaburi--bbb709c4---3902115
University/College,University of the Thai Chamber of Commerce,university-of-the-thai-chamber-of-commerce,https://propertyhub.in.th/en/listings/the-reserve-phahol-pradipat-property-code-tqs08-2051---3883396
University/College,University of the Thai Chamber of Commerce,university-of-the-thai-chamber-of-commerce,https://propertyhub.in.th/en/listings/cs08-135-the-line-jatujak-mochit-type-2-bedrooms-2-bathrooms-56-82-sq-m-39th-floor-sale-12-500-000-baht-add-line-0807811871-khun-on---3884975
University/College,University of the Thai Chamber of Commerce,university-of-the-thai-chamber-of-commerce,https://propertyhub.in.th/en/listings/property-code-cs08-165-q-chidlom-phetchaburi-type-1-bedroom-1-bathroom-35-sq-m-23rd-floor-sale-6-300-000-baht-add-line-0807811871-khun-on---3888180
University/College,University of the Thai Chamber of Commerce,university-of-the-thai-chamber-of-commerce,https://propertyhub.in.th/en/listings/tqs08-2089-urgent-sale-lumpini-ville-cultural-center---3889303
University/College,University of the Thai Chamber of Commerce,university-of-the-thai-chamber-of-commerce,https://propertyhub.in.th/en/listings/property-code-cs08-172-t-c-green-1-bedroom-1-bathroom-29-31-sq-m-28th-floor-sale-2-390-000-baht-add-line-0807811871-khun-on---3890403
University/College,University of the Thai Chamber of Commerce,university-of-the-thai-chamber-of-commerce,https://propertyhub.in.th/en/listings/property-code-cs08-170-the-parkland-grand-asoke-phetchaburi-type-1-bedroom-1-bathroom-35-31-sq-m-22nd-floor-sale-3-650-000-baht---3890415
