46.7s 1 curl: /opt/conda/lib/libcurl.so.4: no version information available (required by curl)
86.3s 2 Google Chrome 114.0.5735.198
87.4s 3 ChromeDriver 114.0.5735.90 (386bc09e8f4f2e025eddae123f36f6263096ae49-refs/branch-heads/5735@{#1052})
88.1s 4 Data imported Project: 1664 records
89.2s 5 Web driver is set up
97.5s 6 1st lat and lon adjustments are calculated
113.5s 7 2nd lat and lon adjustments are calculated
113.5s 8 Start scraping geocodes ...
113.5s 9 ------------------------------
990.1s 99 Done 89: (13.779407332432392,100.5759490259578) Amaranta Residence, Huai Khwang Bangkok
995.5s 100 Done 90: (12.531212032432393,99.9681867259578) Amari Residence Huahin, Hua Hin Prachaubkirikhan
1000.7s 101 Done 91: (12.923284532432392,100.8635753259578) Amari Residences Pattaya, Bang Lamung Chonburi
1011.7s 102 Done 92: (7.886665032432393,98.2856970259578) Amari Residences Phuket, Phuket
1027.5s 103 Done 93: (13.410256571066451,101.0435882928716) Amata Miracle Condo, Muang Chon Buri Chonburi
1033.4s 104 Done 94: (12.887676932432392,100.8880600259578) Amazon Residence Pattaya, Bang Lamung Chonburi
1039.3s 105 Done 95: (13.839399632432393,100.51551962595781) Amber by Eastern Star, Muang Nonthaburi Nonthaburi
1055.1s 106 Done 96: (13.740930071066451,100.5401340928716) Anantara Baan Rajprasong, Pathum Wan Bangkok
1060.3s 107 Done 97: (12.965718632432392,100.8850538259578) Ananya Beachfront Naklua, Bang Lamung Chonburi
1065.4s 108 Done 98: (12.965718632432392,100.8850538259578) Ananya Beachfront Wong Amat, Bang Lamung Chonburi
1070.5s 109 Done 99: (7.9884159324323925,98.2944741259578) Andaman Riviera, Thalang Phuket
1076.4s 110 Done 100: (12.890513032432393,100.8847623259578) Angket Condominium, Bang Lamung Chonburi
1082.2s 111 Done 101: (18.791136232432393,99.0301355259578) Angket Pavillian, Muang Chiang Mai Chiang Mai
1088.4s 112 Done 102: (13.721078132432392,100.5259027259578) Anil Sathorn 12, Bang Rak Bangkok
1093.8s 113 Done 103: (13.854631332432392,100.4386641259578) Anna Condo Bang Phlu, Bang Yai Nonthaburi
1099.5s 114 Done 104: (13.799976332432392,100.6326705259578) Anna Condo Ladprao, Bang Kapi Bangkok
1161.6s 115 Done 105: (13.75673497106645,100.5309959928716) Anusoawaree Condominium Condo,
1187.1s 116 Done 106: (13.650225732432393,100.6161341259578) Apple Sukhumvit - Bearing, Prakarn
1192.8s 117 Done 107: (12.913999732432393,100.87397712595781) Arcadia Beach Continental, Bang Lamung Chonburi
1268.1s 118 Done 108: (12.913116671066451,100.8743649928716) Arcadia Beach Resort CondoBang Lamung Chonburi
1274.0s 119 Done 109: (12.917352632432392,100.8706043259578) Arcadia Center Suites, Bang Lamung Chonburi
1279.9s 120 Done 110: (12.920633432432393,100.8810867259578) Arcadia Millennium Tower, Bang Lamung Chonburi
1285.2s 121 Done 111: (13.730607032432392,100.5796933259578) Arcadia Tower, Watthana Bangkok
1290.9s 122 Done 112: (13.780676932432392,100.5433188259578) Aree Place Phahonyothin, Phaya Thai Bangkok
1296.9s 123 Done 113: (13.724449132432392,100.5708945259578) Aree Place Sukhumvit 26, Khlong Toei Bangkok
1302.2s 124 Done 114: (18.763334932432393,98.98954122595781) Arise Condo Mahidol, Muang Chiang Mai Chiang Mai
1317.3s 125 Done 115: (7.88571527106645,98.2983658928716) Art @ Patong, Kathu Phuket
1323.5s 126 Done 116: (13.740101032432392,100.5809288259578) Art @ Thonglor 25, Watthana Bangkok
1329.1s 127 Done 117: (12.913214332432393,100.8658675259578) Art on the Hill, Bang Lamung Chonburi
1334.6s 128 Done 118: (13.711590032432392,100.6046276259578) Artemis Sukhumvit 77, Suan Luang Bangkok
1340.2s 129 Done 119: (13.769141132432393,100.5827864259578) Artisan Ratchada, Huai Khwang Bangkok
1345.4s 130 Done 120: (12.910726032432393,100.8621673259578) Arunothai Condo, Bang Lamung Chonburi
1351.1s 131 Done 121: (13.732244332432392,100.5637990259578) Arunroj Tower, Khlong Toei Bangkok
1356.5s 132 Done 122: (14.309472032432392,100.6453569259578) Asa Ayuthaya - Rojana, Bang Pa-In Phra Nakhon Sri Ayutthaya
1377.8s 133 Done 123: (13.727059332432393,100.5678334259578) Asa Garden, Bangkok
1383.4s 134 Done 124: (13.803426032432393,100.72388942595781) Asakan City Ramkhamhaeng 186, Min Buri Bangkok
1418.9s 135 Done 125: (13.73459397106645,100.64160379287159) Asakan Place Ladprao 85, Wang Thonglang Bangkok
1424.1s 136 Done 126: (13.766160532432393,100.6528913259578) Asakan Place Ramkhamhaeng - Wongwean, Saphan Sung Bangkok
1429.7s 137 Done 127: (13.766160532432393,100.6528913259578) Asakan Place Ramkhamhaeng 105/1, Bang Kapi Bangkok
1435.4s 138 Done 128: (13.734592832432392,100.6416051259578) Asakan Place Srinakarindra, Suan Luang Bangkok
1441.7s 139 Done 129: (13.720575432432392,100.5282106259578) Ascott Sathorn, Sathon Bangkok
1566.0s 140 Done 130: (6.99409197106645,100.4857845928716) Asean Condominium Condo, Hat Yai Songkhla
1571.4s 141 Done 131: (6.994090832432392,100.4857859259578) Asean city resort, Hat Yai Songkhla
1577.1s 142 Done 132: (13.785971532432393,100.5848242259578) Asher  Ratchada, Huai Khwang Bangkok
1582.9s 143 Done 133: (13.794020032432392,100.5864431259578) Asher Sutthisan, Huai Khwang Bangkok
1588.4s 144 Done 134: (13.738654532432392,100.5615072259578) Ashton Asoke, Watthana Bangkok
1594.0s 145 Done 135: (13.756014132432393,100.5638738259578) Ashton Asoke - Rama 9, Din Daeng Bangkok
1599.6s 146 Done 136: (13.731301532432392,100.53101512595781) Ashton Chula - Silom, Bang Rak Bangkok
1605.3s 147 Done 137: (13.720978532432392,100.5791081259578) Ashton Morph 38, Khlong Toei Bangkok
1610.6s 148 Done 138: (13.732988432432393,100.5726914259578) Ashton Residence 41, Watthana Bangkok
1616.4s 149 Done 139: (13.726300432432392,100.5268737259578) Ashton Silom, Bang Rak Bangkok
1689.2s 150 Done 140: (13.741654732432393,100.5621252259578) Asoke Place CondoWatthana Bangkok
1704.5s 151 Done 141: (13.745483871066451,100.5624027928716) Asoke Tower, Watthana Bangkok
1719.5s 152 Done 142: (13.65535367106645,100.6462948928716) Aspen Lasalle, Bang Na Bangkok
1725.5s 153 Done 143: (13.764132332432393,100.48411522595781) Aspire  Pinklao - Arunammarin, Bangkok Noi Bangkok
1747.1s 154 Done 144: (13.764246932432393,100.5608957259578) Aspire Asoke - Ratchada, Bangkok
1752.9s 155 Done 145: (13.621478532432393,100.5897612259578) Aspire Erawan, Muang Samut Prakarn Samut Prakarn
1758.1s 156 Done 146: (13.621478532432393,100.5897612259578) Aspire Erawan Prime, Muang Samut Prakarn Samut Prakarn
1773.6s 157 Done 147: (13.769743571066451,100.63891759287159) Aspire Ladprao 113, Bang Kapi Bangkok
1779.4s 158 Done 148: (13.856258232432392,100.5478988259578) Aspire Ngamwongwan, Lak Si Bangkok
1785.5s 159 Done 149: (13.707608732432393,100.5997188259578) Aspire Onnut Station, Khlong Toei Bangkok
1791.1s 160 Done 150: (13.711996732432393,100.5844484259578) Aspire Rama 4, Khlong Toei Bangkok
1796.6s 161 Done 151: (13.754691032432392,100.5668759259578) Aspire Rama 9, Huai Khwang Bangkok
1802.3s 162 Done 152: (13.830708932432392,100.52528202595781) Aspire Ratchada - Wongsawang, Bang Sue Bangkok
1807.7s 163 Done 153: (13.831294532432393,100.5688108259578) Aspire Ratchayothin, Chatuchak Bangkok
1823.2s 164 Done 154: (13.86051697106645,100.5083255928716) Aspire Rattanathibet, Muang Nonthaburi Nonthaburi
1829.3s 165 Done 155: (13.859553632432393,100.5080815259578) Aspire Rattanathibet 2, Muang Nonthaburi Nonthaburi
1844.6s 166 Done 156: (13.71639867106645,100.4584834928716) Aspire Sathorn - Ratchapruek, Phasi Charoen Bangkok
1850.1s 167 Done 157: (13.712010332432392,100.4634017259578) Aspire Sathorn - Taksin (Brick Zone), Thon Buri Bangkok
1855.9s 168 Done 158: (13.712629832432393,100.4643492259578) Aspire Sathorn - Taksin (Copper Zone), Chom Thong Bangkok
1861.1s 169 Done 159: (13.713236132432392,100.4639820259578) Aspire Sathorn - Taksin (Timber Zone), Thon Buri Bangkok
1867.6s 170 Done 160: (13.715509432432393,100.4801336259578) Aspire Sathorn - Thapra, Thon Buri Bangkok
1872.8s 171 Done 161: (13.697078632432392,100.6508185259578) Aspire Srinakarin, Prawet Bangkok
1878.8s 172 Done 162: (13.712221232432393,100.6147807259578) Aspire Sukhumvit - Onnut, Suan Luang Bangkok
1884.5s 173 Done 163: (13.711996732432393,100.5844484259578) Aspire Sukhumvit - Rama 4, Khlong Toei Bangkok
1890.3s 174 Done 164: (13.711078632432393,100.5939192259578) Aspire Sukhumvit 48, Khlong Toei Bangkok
1895.8s 175 Done 165: (17.413667632432393,102.7762143259578) Aspire Udon Thani, Muang Udon Thani Udon Thani
1901.7s 176 Done 166: (13.713957932432393,100.4718331259578) Aspire Wutthakat, Thon Buri Bangkok
1907.3s 177 Done 167: (18.77252383243239,98.9986628259578) Astra Sky River, Muang Chiang Mai Chiang Mai
1913.3s 178 Done 168: (13.903864532432392,100.5305916259578) Astro Chaeng Wattana, Pak Kret Nonthaburi
1918.9s 179 Done 169: (14.524587632432393,100.9311405259578) At First Sight, Muang Saraburi Saraburi
1924.1s 180 Done 170: (7.7740873324323925,98.3184502259578) At The Tree Condominium, Muang Phuket Phuket
1930.2s 181 Done 171: (13.741378432432393,100.5493219259578) Athenee Residence, Pathum Wan Bangkok
1935.7s 182 Done 172: (12.887296232432393,100.8827080259578) Atlantis Condo Resort Pattaya, Bang Lamung Chonburi
1941.0s 183 Done 173: (13.664127232432392,100.6502992259578) Atmoz Bangna, Bang Na Bangkok
1946.3s 184 Done 174: (13.896858032432393,100.5543915259578) Atmoz Chaengwattana, Pak Kret Nonthaburi
1951.5s 185 Done 175: (13.811665532432393,100.7219015259578) Atmoz Flow Minburi, Min Buri Bangkok
1967.0s 186 Done 176: (13.81463087106645,100.5706115928716) Atmoz Ladprao 15, Chatuchak Bangkok
1973.1s 187 Done 177: (13.816191032432393,100.6104023259578) Atmoz Ladprao 71, Lat Phrao Bangkok
1978.7s 188 Done 178: (13.769202432432392,100.5965971259578) Atmoz Ratchada - Huaikwang, Wang Thonglang Bangkok
1999.8s 189 Done 179: (13.787783232432393,100.5527468259578) Atrium Phahol - Suthisarn, Bangkok
2004.9s 190 Done 180: (14.514897332432392,101.4337156259578) Atta\xa0Lakeside Resort Suite, Pak Chong Nakhon Ratchasima
2010.0s 191 Done 181: (14.038209632432393,100.6175182259578) Attitude BU, Khlong Luang Pathumthani
2035.1s 192 Done 182: (13.773067832432393,100.5834223259578) Aue Pracha Condotown, Bangkok
2041.1s 193 Done 183: (13.699029032432392,100.4964308259578) August Charoenkrung 80, Bang Kho Laem Bangkok
2046.8s 194 Done 184: (12.918986532432392,100.8613840259578) Aurora Pratumnak, Bang Lamung Chonburi
2052.1s 195 Done 185: (12.511107932432392,99.9732144259578) Autumn Hua Hin, Hua Hin Prachaubkirikhan
2057.4s 196 Done 186: (12.930989732432392,100.8852203259578) Avatara jomtien, Bang Lamung Chonburi
2062.9s 197 Done 187: (13.724834132432392,100.5826603259578) Avenue 61, Watthana Bangkok
