project_id,project_name,address,ceiling_height,completed_on,no_building,no_floor,total_units,utility_fee,bicycle_parking,cctv,convenience_store,fingerprint_access_control,fitness,jacuzzi,keycard_access_control,kids_playground,library,lift,massage_room,park_bbq_areas,parking,restaurant,sauna,security,shuttle_service,steam_room,swimming_pool,wifi,lat,lon,gg_address,province,district
233,Baan Koo Kiang Hua Hin,Hua Hin Prachaubkirikhan,,2014.0,2.0,8.0,256.0,,0,1,0,0,1,0,1,0,0,1,0,1,1,0,0,1,0,0,1,0,12.54111447106645,99.9629057928716,"GXR7+C5V, Petchkasem Rd, Nong Kae, Hua Hin District, Prachuap Khiri Khan 77110, Thailand",Prachuap Khiri Khan,Hua Hin
234,Baan Kun Koey Hua Hin,Hua Hin Prachaubkirikhan,,2013.0,2.0,8.0,302.0,,0,1,0,0,1,0,1,0,0,1,0,1,1,0,0,1,0,0,1,0,12.56843637106645,99.9555303928716,"5 15 Sra Song Rd Tambon Hua Hin, Hua Hin District, Prachuap Khiri Khan 77110, Thailand",Prachuap Khiri Khan,Hua Hin
235,Baan Lux - Sathon,Yan Nawa Bangkok,- m.,2012.0,1.0,5.0,18.0,,0,1,0,0,1,0,0,0,0,1,0,1,1,0,0,1,0,0,1,0,13.715399832432391,100.5505462259578,"PH82+567, Soi Mek Sawat, Chong Nonsi, Yan Nawa, Bangkok 10120, Thailand",Bangkok,Yan Nawa
236,Baan Mai Khao Phuket,Thalang Phuket,,2015.0,9.0,3.0,206.0,,0,1,0,0,1,0,0,0,0,1,0,1,1,0,0,1,0,0,1,1,8.153804732432393,98.2970551259578,"8, Mai Khao, Thalang District, Phuket 83000, Thailand",Phuket,Thalang
237,Baan Mitra,Watthana Bangkok,,1991.0,1.0,12.0,20.0,,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,1,1,13.743942532432392,100.5716463259578,"117/2-21 Phop Mit Alley, Khlong Tan Nuea, Watthana, Bangkok 10110, Thailand",Bangkok,Watthana
238,Baan Na Varang,Pathum Wan Bangkok,,1998.0,1.0,24.0,95.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.741266832432393,100.5434466259578,"41 Phloen Chit Rd, Lumphini, Pathum Wan, Bangkok 10330, Thailand",Bangkok,Pathum Wan
239,Baan Navatara,Bueng Kum Bangkok,,2010.0,6.0,8.0,1019.0,,0,1,0,0,1,0,1,0,0,1,0,1,1,0,0,1,0,0,1,1,13.825373432432391,100.6295756259578,"900 ซอย Soi Prasert Manutakit 33, Nuanchan, Bueng Kum, Bangkok 10230, Thailand",Bangkok,Bueng Kum
240,Baan Nonsee,Sathon Bangkok,,1999.0,1.0,20.0,64.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.706144732432392,100.5365525259578,"33 Chan Rd, Chong Nonsi, Yan Nawa, Bangkok 10120, Thailand",Bangkok,Sathon
241,Baan Nub Kluen,Hua Hin Prachaubkirikhan,,,8.0,7.0,180.0,,0,1,0,0,1,0,0,0,0,1,0,1,1,0,0,1,0,0,1,0,12.465179971066451,99.9748948928716,"1/83 Nong Kae-Takiap, Nong Kae, Hua Hin District, Prachuap Khiri Khan 77110, Thailand",Prachuap Khiri Khan,Hua Hin
242,Baan Nunthasiri,Sathon Bangkok,,2006.0,2.0,7.0,79.0,35.0,0,1,0,0,1,0,1,0,0,1,0,1,1,0,1,1,0,0,1,0,13.721870132432391,100.5439495259578,"Baan Nunthasiri Condominium, Soi Atthakan Prasit, Thung Maha Mek, Sathon, Bangkok 10120, Thailand",Bangkok,Sathon
243,Baan On Nut Sukhumvit 77,Suan Luang Bangkok,,1996.0,2.0,18.0,,,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,13.71993627106645,100.6163180928716,"82 , Phatthanakan Road , Suan Luang , 10250 Suan Luang , Bangkok, 10250, Thailand",Bangkok,Suan Luang
244,Baan Paholyothin Place,Phaya Thai Bangkok,,2002.0,1.0,23.0,263.0,,0,1,1,0,1,0,1,0,0,1,0,0,1,1,0,1,0,0,1,0,13.783020532432392,100.5468223259578,"ซอย พหลโยธิน 8 Samsen Nai, Phaya Thai, Bangkok 10400, Thailand",Bangkok,Phaya Thai
245,Baan Pathumwan,Ratchathewi Bangkok,,1996.0,1.0,31.0,194.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.75498067106645,100.5323780928716,"158 Phaya Thai Rd, Thanon Phaya Thai, Ratchathewi, Bangkok 10400, Thailand",Bangkok,Ratchathewi
246,Baan Peang Ploen,Hua Hin Prachaubkirikhan,- m.,2014.0,2.0,8.0,352.0,45.0,0,1,0,0,1,0,1,0,0,1,0,1,1,0,0,1,0,0,1,0,12.514677532432392,99.9758409259578,"6/546 5th fl. B Building Nong Kae, Hua Hin District, Prachuap Khiri Khan 77110, Thailand",Prachuap Khiri Khan,Hua Hin
247,Baan Phayapirom Condominium,Chatuchak Bangkok,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.820618171066451,100.5882769928716,"314/1-254 , Ratchadaphisek Road , Chan Kasem , 10900 Chatuchak , Bangkok, 10900, Thailand",Bangkok,Chatuchak
248,Baan Piya Sathorn,Sathon Bangkok,,1998.0,1.0,33.0,146.0,,0,1,0,0,0,0,1,0,0,1,1,0,1,0,0,1,0,0,1,0,13.722744032432391,100.5374030259578,"PGFP+3XR, Khwaeng Thung Maha Mek, Khet Sathon, Bangkok 10120, Thailand",Bangkok,Sathon
249,Baan Piyabutr,Khlong Toei Bangkok,,,1.0,6.0,,,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,13.723606632432393,100.5713163259578,"59/12 Sukhumvit Road, Khlong Tan, Khlong Toei, Bangkok 10110泰國",Bangkok,Khlong Toei
250,Baan Plai Haad Pattaya,Bang Lamung Chonburi,2.8 m.,2015.0,1.0,31.0,353.0,35.0,0,1,0,0,1,1,1,1,0,1,0,1,1,0,1,1,0,0,1,0,12.969774332432392,100.8850556259578,"Na Kluea 18, Pattaya City, Bang Lamung District, Chon Buri 20150, Thailand",Chonburi,Bang Lamung
251,Baan Ploenchit,Pathum Wan Bangkok,,1994.0,1.0,16.0,129.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.736981432432392,100.5505727259578,"67 Soi Ruam Rudi 2, Lumphini, Pathum Wan, Bangkok 10330, Thailand",Bangkok,Pathum Wan
252,Baan Prachaniwet,Chatuchak Bangkok,,1999.0,4.0,9.0,800.0,,0,1,0,0,0,0,1,1,0,1,0,0,1,0,0,1,0,0,1,0,13.840896232432392,100.5486207259578,"3 Thetsaban Nimit Nue Rd, Lat Yao, Chatuchak, Bangkok 10900, Thailand",Bangkok,Chatuchak
253,Baan Prida,Khlong Toei Bangkok,,1983.0,1.0,14.0,19.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.738466532432392,100.5563362259578,"33 Soi Sukhumvit 8, Khwaeng Khlong Toei, Khlong Toei, Bangkok 10110, Thailand",Bangkok,Khlong Toei
254,Baan Prompong,Watthana Bangkok,,1992.0,1.0,22.0,98.0,,0,1,1,0,1,0,0,1,0,1,0,1,1,1,0,1,0,0,1,1,13.742978632432392,100.5720936259578,"147 Soi Sukhumvit 39, Khlong Tan Nuea, Watthana, Bangkok 10110, Thailand",Bangkok,Watthana
255,Baan Prueksasiri Suanplu,Sathon Bangkok,,2001.0,1.0,8.0,58.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.72043037106645,100.5385573928716,"PGCQ+5CF, S Sathon Rd, Yan Nawa, Sathon, Bangkok 10120, Thailand",Bangkok,Sathon
256,Baan Rajprasong,Pathum Wan Bangkok,- m.,2007.0,1.0,34.0,220.0,45.0,0,1,0,0,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,1,13.73887487106645,100.5410152928716,"3 ซอย มหาดเล็กหลวง 3 กรุงเทพมหานคร Баія 10330, Thailand",Bangkok,Pathum Wan
257,Baan Ratchada,Wang Thonglang Bangkok,,1994.0,1.0,8.0,176.0,,1,1,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,13.787966032432392,100.5902902259578,"125 56 Lat Phrao 64 Alley, Lane 6, Wang Thonglang, Bangkok 10310泰國",Bangkok,Wang Thonglang
258,Baan Ratchadamri,Pathum Wan Bangkok,,2005.0,1.0,26.0,52.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.735159432432392,100.5391060259578,"185/4-36 Ratchadamri Rd, Lumphini, Pathum Wan, Bangkok 10330, Thailand",Bangkok,Pathum Wan
259,Baan Ratchathawi Ville,Ratchathewi Bangkok,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.753692632432392,100.5336926259578,"QG3M+FFG, Thanon Phaya Thai, Ratchathewi, Bangkok 10400, Thailand",Bangkok,Ratchathewi
260,Baan Rimpha,Bang Lamung Chonburi,,1990.0,1.0,10.0,30.0,,0,1,1,0,1,0,1,0,0,1,0,1,1,0,1,1,0,0,1,0,12.952118432432393,100.8832893259578,"XV2M+R8V, Pattaya City, Bang Lamung District, Chon Buri 20150, Thailand",Chonburi,Bang Lamung
261,Baan Ruanrom Bangna,Bang Na Bangkok,,2013.0,1.0,8.0,70.0,,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,13.670193032432392,100.6429457259578,"89 33 ซอย บางนา-ตราด Bang Na Nuea, Bang Na, Bangkok 10260, Thailand",Bangkok,Bang Na
