no,project_name,gg_address,province,district,lat,lon
13,28 Chidlom,"28 Chit Lom Alley, Lumphini, Pathum Wan, Bangkok 10330, Thailand",Bangkok,Pathum Wan,13.74673253,100.544041
14,33 Tower,"399 ถนน สุขุมวิท Khlong Toei Nuea, Watthana, Bangkok 10110, Thailand",Bangkok,Watthana,13.73578833,100.5683302
15,333 Riverside,"333 Pracharat Sai 2 Bang Sue, Bangkok 10800, Thailand",Bangkok,Bang Sue,13.80681143,100.5195989
16,38 Mansion,"อาคาร 38 แมนชั่น, 25/28 Soi Sangchai, Phra Khanong, Khlong Toei, Bangkok 10110, Thailand",Bangkok,Khlong Toei,13.71821873,100.5779599
17,39 Suite,"6 Soi Phrom Si 1, Khwaeng Khlong Tan Nuea, Watthana, Krung Thep Maha Nakhon 10110, Thailand",Bangkok,Watthana,13.73671773,100.574365
18,39 by Sansiri,"11 Soi Sukhumvit 39, Klongton-Nua Watthana, Bangkok 10110, Thailand",Bangkok,Watthana,13.73174473,100.5704197
19,49 Plus,"41, ซอย Sukhum Vit 49, Khlong Tan Nuea, Watthana, Bangkok 10110, Thailand",Bangkok,Watthana,13.73052203,100.5756162
20,49 Plus 2,"41, ซอย Sukhum Vit 49, Khlong Tan Nuea, Watthana, Bangkok 10110, Thailand",Bangkok,Watthana,13.73052203,100.5756162
21,49 Suite,"ซฮย 49 Sukhumvit Road, Khlong Toei Nuea, Watthana, Bangkok 10110, Thailand",Bangkok,Watthana,13.72945903,100.5760061
22,59 Heritage,"18 ซอย สุขุมวิท 59 Khlong Tan Nuea, Watthana, Bangkok 10110, Thailand",Bangkok,Watthana,13.72446863,100.5818067
23,624 Condolette Ladprao,"46 Seri Thai Rd, Khlong Chan, Bang Kapi District, Bangkok 10240, Thailand",Bangkok,Bang Kapi,13.76652323,100.6492294
24,624 Condolette Ratchada 36,"RHCG+RMQ, Condolette, ซอย รัขดาภิเษก Chan Kasem, Chatuchak, Bangkok 10900, Thailand",Bangkok,Chatuchak,13.82209533,100.5767487
25,88 The Terminal,"วัดชลอ Prachim Ratthaya Expy, Bang Kruai, Bang Kruai District, Nonthaburi 11130, Thailand",Nonthaburi,Bang Kruai,13.79176223,100.4740223
26,9 Sriracha,"444. ม.2 ถนน เก้ากิโล ซอย 9 Tambon Surasak, Si Racha District, Chon Buri 20110, Thailand",Chonburi,Si Racha,13.15595137,100.9346757
27,98 wireless,"98 Witthayu Rd, Lumphini, Pathum Wan, Bangkok 10330, Thailand",Bangkok,Pathum Wan,13.74167263,100.5469343
28,@ City Sukhumvit 101/1,"MJQF+5P4, Wachiratham Sathit 31 Alley, Bang Chak, Phra Khanong, Bangkok 10260, Thailand",Bangkok,Phra Khanong,13.68789257,100.6243243
29,A Plus 2 @ Rattanathibet,"VG54+RQG, Rattanathibech 11, Tambon Bang Kraso, Mueang Nonthaburi District, Nonthaburi 11000, Thailand",Nonthaburi,Mueang Nonthaburi,13.85956203,100.5069372
30,A Plus Condo,"VG36+HV9 เรวดี ซอย 17 Tambon Talat Kwan, Mueang Nonthaburi District, Nonthaburi 11000, Thailand",Nonthaburi,Mueang Nonthaburi,13.85390587,100.5122407
31,A Plus Inspire Rattanathibet 11,"Rattanathibet Rd, Tambon Bang Kraso, อำเภอเมือง, Nonthaburi 11000泰國",Nonthaburi,Mueang Nonthaburi,13.85897653,100.5067391
