no,project_name,gg_address,province,district,lat,lon
549,Circle Sukhumvit 31,"55 Sukhumvit 31, Khlong Toei Nuea, Watthana, Bangkok 10110, Thailand",Bangkok,Watthana,13.73896723,100.5664377
550,Citi Resort Sukhumvit 49,"39 SOI SUKHUMVIT 49 SUKHUMVIT ROAD KLONGTON NUA Watthana, Bangkok 10110, Thailand",Bangkok,Watthana,13.73099413,100.5754581
551,Citi Smart Condo,"PHM6+WW6, Sukhumvit Road, Khlong Toei, Bangkok 10110, Thailand",Bangkok,Watthana,13.73479323,100.5622587
552,Citrine,"18 Soi Sukhumvit 26, Khlong Tan, Khlong Toei, Bangkok 10110, Thailand",Bangkok,Khlong San,13.72774963,100.5711387
553,City Center Residence,"WVHQ+5XC, Bong Koch 8, Pattaya City, Bang Lamung District, Chon Buri 20150, Thailand",Chonburi,Bang Lamung,12.92794457,100.889886
554,City Garden Pattaya,"296/97, Pattaya Sai Song, Rd, Pattaya City, Bang Lamung District, Chon Buri 20150, Thailand",Chonburi,Bang Lamung,12.92666507,100.8789852
555,City Garden Pratumnak,"Pattaya City, Bang Lamung District, Chon Buri 20150, Thailand",Chonburi,Bang Lamung,12.91954343,100.8636897
556,City Garden Tower,"Pattaya 3rd Rd, Pattaya City, Amphoe Bang Lamung, Chon Buri 20150, Thailand",Chonburi,Bang Lamung,12.92146133,100.8819746
557,City Garden Tropicana,"Na Kluea 16/1, Pattaya City, Amphoe Bang Lamung, Chon Buri 20150, Thailand",Chonburi,Bang Lamung,12.96141163,100.8904793
558,City Home Ratchada,"Ratchadaphisek 10 Alley, Huai Khwang, Bangkok 10310, Thailand",Bangkok,Huai Khwang,13.77161923,100.5760004
559,City Home Ratchada - Pinklao,"585 Charan Sanit Wong Rd, Bang Ao, Bang Phlat, Bangkok 10700, Thailand",Bangkok,Bang Phlat,13.80437863,100.5109009
560,City Home Rattanathibet,"VG72+FF6 Rattanathibet 26 Tambon Bang Kraso, Mueang Nonthaburi District, Nonthaburi 11000, Thailand",Nonthaburi,Mueang Nonthaburi,13.86366373,100.5011342
561,City Home Srinakarin,"Lasalle Rd, แขวง บางนาใต้ Bang Na, Bangkok 10260, Thailand",Bangkok,Bang Na,13.65614417,100.6476267
562,City Home Sukhumvit,"3197/105 อาคารa1 Sukhumvit Road, Bang Na Nuea, Bang Na, Bangkok 10260, Thailand",Bangkok,Bang Na,13.68103143,100.6107773
563,City Home Tha Phra Intersection,"99 99 Ratchadaphisek Rd, Wat Tha Phra, Bangkok Yai, Bangkok 10600, Thailand",Bangkok,Bangkok Yai,13.72848503,100.4739651
564,City Lakes Tower Sukhumvit 16,"15 Soi Sukhumvit 16, Khlong Toei, Bangkok 10110, Thailand",Bangkok,Khlong Toei,13.73367923,100.5610777
565,City Link Condo,"1712/1 ถนน มานะศิลป์ Tambon Nai Mueang, Mueang Nakhon Ratchasima District, Nakhon Ratchasima 30000, Thailand",Nakhon Ratchasima,Mueang Nakhon Ratchasima,14.97886333,102.0660507
566,City Living Ratchada,"เลข ที่ 95 ซ ประชาราษฎร์ บำเพ็ญ, Pracha Rat Bamphen 12 Alley, Huai Khwang, Bangkok 10310, Thailand",Bangkok,Huai Khwang,13.77106863,100.5763951
567,City Park Bangna,"HQMP+MH5, Bang Sao Thong, Bang Sao Thong District, Samut Prakan 10540, Thailand",Samut Prakan,Bang Sao Thong,13.58414687,100.7864761
568,City Room  Ratchada - Suthisan,"1141 Sutthisan Winitchai Rd, Din Daeng, Bangkok 10400, Thailand",Bangkok,Din Daeng,13.79002193,100.5725424
569,City Villa,"211/222 ซิตี้วิลล่าคอนโด ซอยไดร์ฟอินสแควร์ 3, แขวงพลับพลา, Wang Thonglang, Bangkok 10310, Thailand",Bangkok,Bang Kapi,13.77122583,100.6296837
570,City Ville,"296, Sukhumvit Road, Bang Pu Mai, Mueang Samut Prakan District, Samut Prakan 10280, Thailand",Samut Prakan,Mueang Samut Prakan,13.54770883,100.6300384
571,City Ville @Kasetsart,"84/1 Ngamwongwan Rd, Lat Yao, Chatuchak, Bangkok 10900, Thailand",Bangkok,Chatuchak,13.84526083,100.5651072
572,Click Sukhumvit 65,"101 Click Condo65 Soi Sukhumvit65, Prakanong-Nuer,, Wattana, Bangkok, 10110, Thailand",Bangkok,Watthana,13.72257503,100.5878904
573,Clover Ladprao 83,"QJP7+WJ3, Chit Ari Alley, Khlong Chaokhunsing, Wang Thonglang, Bangkok 10310, Thailand",Bangkok,Wang Thonglang,13.78726533,100.6140345
574,Club Royal Wongamat,"381 Soi Na Kluea 12, Muang Pattaya, Bang Lamung District, Chon Buri 20150, Thailand",Chonburi,Bang Lamung,12.96894823,100.8880521
575,College View Sriracha,"Thailand, 50-54 Jerm Jom Phon Road, Si Racha, Si Racha District, Chon Buri 20110, Thailand",Chonburi,Si Racha,13.16749383,100.9244613
576,Collezio Sathorn - Pipat,"41 Collezio Sathorn-Pipat, Soi Pipat, Silom, Bang Rak, Bangkok 10500, Thailand",Bangkok,Bang Rak,13.72341913,100.5317768
577,Common TU,"3J87+6QM, Khlong Luang Rd, Khlong Nueng, Khlong Luang District, Pathum Thani 12120, Thailand",Pathum Thani,Khlong Luang,14.06558533,100.6144242
578,Commonwealth Pinklao,"159 Charan Sanit Wong Rd, Bang Bumru, Bang Phlat, Bangkok 10700, Thailand",Bangkok,Bang Phlat,13.77665823,100.4841326
579,Commune 80 Lat Phrao,"ซอย ลาดพร้าว 80 แยก 22 ลาดพร้าว Wang Thonglang, Bangkok 10310, Thailand",Bangkok,Wang Thonglang,13.78260923,100.6028371
580,Condare Maneeya,"353 Song Sa At Alley, Chom Phon, Chatuchak, Bangkok 10900, Thailand",Bangkok,Chatuchak,13.80269733,100.5628864
581,Condo 5 Sor,"836 Soi On Nut 46, Suan Luang, Bangkok 10250, Thailand",Bangkok,Suan Luang,13.70236267,100.6345735
582,Condo @78 phetkasem,"195 30 Petchkasem Rd, Bang Khae Nuea, Bang Khae, Bangkok 10160, Thailand",Bangkok,Bang Khae,13.71468203,100.4115303
583,Condo Chain Hua Hin,"145 Petchkasem Rd, Hua Hin, Hua Hin District, Prachuap Khiri Khan 77110, Thailand",Prachuap Khiri Khan,Hua Hin,12.59345107,99.94984889
584,Condo ME Navanakorn,"5H49+J5V, Chiang Rak Noi, Bang Pa-in District, Phra Nakhon Si Ayutthaya 13180, Thailand",Phra Nakhon Si Ayutthaya,Phra Nakhon,14.15659823,100.5679227
585,Condo Me Onnut - Rama 9,"9 87 ถนน เฉลิมพระเกียรติ ร.9 Prawet, Bangkok 10250, Thailand",Bangkok,Prawet,13.72885083,100.7009691
586,Condo One Sukhumvit 67,"35 Soi Sukhumvit 67, Phra Khanong Nuea, Watthana, Bangkok 10110, Thailand",Bangkok,Watthana,13.71826863,100.590099
587,Condo Sinthavee Park,"P355+M5C, Ban Chang, Ban Chang District, Rayong 21130, Thailand",Rayong,Ban Chang,12.70919723,101.057897
588,Condolette Dwell Sukhumvit 26,"โทร. 1739 :ซอยสุขุมวิท 26 แขวงคลองตัน Khlong Toei, Bangkok 10110, Thailand",Bangkok,Khlong Toei,13.72569203,100.5707128
589,Condolette Ize Ratchathewi,"QG3J+69C, Phetchaburi Rd, Thanon Phetchaburi, Ratchathewi, Bangkok 10400, Thailand",Bangkok,Ratchathewi,13.75304813,100.5308919
590,Condolette Light Convent,"9 Phiphat 2, Silom, Bang Rak, Bangkok 10500, Thailand",Bangkok,Bang Rak,13.72506693,100.5331289
591,Condolette Midst Rama 9,"72 Rama IX Rd, Huai Khwang, Bangkok 10310, Thailand",Bangkok,Huai Khwang,13.75566473,100.566373
592,Condolette Pixel Sathorn,"158 Soi Si Bamphen, Chong Nonsi, Yan Nawa, Bangkok 10120, Thailand",Bangkok,Yan Nawa,13.71827483,100.5492515
593,Condotel Rungroj,"735 Petchkasem Rd, ต.ชะอำ, อ.ชะอำ, Phetchaburi 76120, Thailand",Bangkok,Nong Khaem,12.75459157,99.96912379
594,Conner Ratchathewi,"288 Phetchaburi Rd, Thanon Phetchaburi, Ratchathewi, Bangkok 10400, Thailand",Bangkok,Ratchathewi,13.75396753,100.5292123
595,Connext Condo,"V9FM+FW3, Tambon Talat Nuea, Mueang Phuket District, Phuket 83000, Thailand",Phuket,Mueang Phuket,7.873641732,98.38478223
596,Coo Phitsanulok,"unnamed road Mueang Phitsanulok District, Phitsanulok 65000, Thailand",Phitsanulok,Mueang Phitsanulok,16.82193513,100.271797
597,Cool Condo Rama 7,"RF6W+7FG, Bang Kruai, Bang Kruai District, Nonthaburi 11130, Thailand",Nonthaburi,Bang Kruai,13.81031743,100.4962561
598,Cooper Siam,"Soi Rong Mueang 5, Rong Muang, Pathum Wan, Bangkok 10330, Thailand",Bangkok,Pathum Wan,13.74606083,100.5223717
599,Copacabana Beach Jomtien,"551/5 ม.12 ถนน เลียบหาดจอมเทียน ระหว่างซอย 8-9 Bang Lamung District, Chon Buri 20150, Thailand",Chonburi,Bang Lamung,12.89092253,100.8744308
600,Cosmo Villa,"39 Sukhumvit Road, Soi12, Khlong Toei, Bangkok 10110, Thailand",Bangkok,Khlong Toei,13.73648223,100.558158
601,Cosy Beach View,"400 Kasetsin 9, Pattaya City, Bang Lamung District, Chon Buri 20150, Thailand",Chonburi,Bang Lamung,12.91928643,100.8607266
602,Country Complex,"Country Tower Complex B, 225 Naphalai 12 Alley, Bang Na Tai, Bang Na, Bangkok 10260, Thailand",Bangkok,Bang Na,13.67339843,100.5992713
603,Country Place,"10240 Soi Rat Phatthana 4, Rat Phatthana, Saphan Sung, Bangkok 10240泰國",Bangkok,Saphan Sung,13.78394564,100.702861
604,Country Ville Resort Khae-rai Phase 1,"หมู่ที่ 8 123/123 8 Soi Thang Khao Mu Ban Sin Sombun, ตำบลบางกะสอ Mueang Nonthaburi District, Nonthaburi 11000, Thailand",Nonthaburi,Mueang Nonthaburi,13.86412463,100.5128473
605,Craft Ploenchit,"Craft Ploenchit 1053 Witthayu Rd, Lumphini, Pathum Wan, Bangkok 10330, Thailand",Bangkok,Pathum Wan,13.74543353,100.5498263
606,Cross Creek,"8 Ekkamai 10 Alley, Lane 2, Phra Khanong Nuea, Watthana, Bangkok 10110, Thailand",Bangkok,Watthana,13.72723833,100.5875948
607,Crystal Beach Condominium,"Crystal Beach Condominium, Bang Phra, Si Racha District, Chon Buri 20110, Thailand",Chonburi,Si Racha,13.22222913,100.9356626
608,Crystal Garden,"217 Sukhumvit 4 Alley, Khlong Toei, Bangkok 10110, Thailand",Bangkok,Khlong Toei,13.73517853,100.5534613
609,Culture Chula,"38/12 ซอย ประตูชัย, Si Phraya, Bang Rak, Bangkok 10500, Thailand",Bangkok,Bang Rak,13.73072073,100.5322955
610,Culture Thonglor,"1151, 1 ซอย สุขุมวิท 59 Khlong Tan Nuea, Khlong Toei, Bangkok 10110, Thailand",Bangkok,Khlong Toei,13.72359043,100.5814487
611,D 25 Thonglor,"10 Soi Thonglor 25, Sukhumvit 55 Rd., Klongton-nua, Bangkok 10110, Thailand",Bangkok,Watthana,13.73909983,100.5827245
612,D 65,"394 Sukhumvit 65, Phra Khanong Nuea, Watthana, Bangkok 10110, Thailand",Bangkok,Watthana,13.72177803,100.5885673
613,D Mark Condo @Sutthisan,"QHRM+F4G, Atchara Alley, Samsen Nok, Huai Khwang, Bangkok 10310, Thailand",Bangkok,Huai Khwang,13.79117563,100.5828401
614,D Memoria Phaholyothin 8,"51 ซอย พหลโยธิน 8 Samsen Nai, Phaya Thai, Bangkok 10400, Thailand",Bangkok,Phaya Thai,13.77830103,100.5484463
615,D Mura Ratchayothin,"1677 Soi Phahon Yothin 34, Sena Nikhom, Chatuchak, Bangkok 10900, Thailand",Bangkok,Chatuchak,13.83710603,100.5835046
616,D Park Condo Suansear - Sriracha,"Surasak, Si Racha District, Chon Buri 20110, Thailand",Chonburi,Si Racha,13.15053697,101.0075001
617,D Ratchada 19,"17 ซอย วิภาวดีรังสิต 16/43 Din Daeng, Bangkok 10400, Thailand",Bangkok,Din Daeng,13.79990907,100.573565
618,D.D.Tower,"1792 Thanon Pracha Songkhro, Din Daeng, Bangkok 10400泰國",Bangkok,Din Daeng,13.77442593,100.5615061
619,D.S. Tower 1 Sukhumvit 33,"Soi Phrom Chit, Khlong Toei Nuea, Watthana, Bangkok 10110, Thailand",Bangkok,Watthana,13.73710823,100.5685758
620,D.S. Tower 2 Sukhumvit 39,"D. S. Tower 2, 93 Soi Sukhumvit 39, Khlong Tan Nuea, Watthana, Bangkok 10110, Thailand",Bangkok,Watthana,13.74059753,100.5708076
621,D5 Condominium,"RJMR+R3M, Nuanchan, Bueng Kum, Bangkok 10230, Thailand",Bangkok,Bueng Kum,13.83457977,100.6401713
622,DD Mansion 2,"473, 19 Ngamwongwan 18 Alley, Bang Khen, Mueang Nonthaburi District, Nonthaburi 11000泰國",Nonthaburi,Mueang Nonthaburi,13.85291173,100.5386913
623,DEFINE by Mayfair Sukhumvit 50,"809 Sawatdi 4 Alley, Phra Khanong, Khlong Toei, Bangkok 10260, Thailand",Bangkok,Khlong Toei,13.70151243,100.5945146
624,DEN Vibhavadi,"VHRP+8G6, Soi Vibhavadi Rangsit-Rangsit, Sanambin, Don Mueang, Bangkok 10210, Thailand",Bangkok,Don Mueang,13.89078853,100.5862776
625,DLV Thonglor 20,"18 Thong Lo 20 Alley, Khlong Tan Nuea, Watthana, Bangkok 10110, Thailand",Bangkok,Watthana,13.73876453,100.5870904
626,DOLCE LASALLE,"Lasalle soi 7, Bangna, Bangkok 10260, Thailand",Bangkok,Bang Na,13.66473503,100.6067897
627,DRouvre Condominium,"QGGW+W63, Soi Phahon Yothin 2, Samsen Nai, Phaya Thai, Bangkok 10400, Thailand",Bangkok,Phaya Thai,13.77725797,100.5455559
628,Dcon Prime Rattanathibet,"12 ซ. 2 Sai Ma, Mueang Nonthaburi District, Nonthaburi 11000, Thailand",Nonthaburi,Mueang Nonthaburi,13.87072653,100.4671533
629,De Amber,"Bang Sare, Sattahip District, Chon Buri 20250, Thailand",Chonburi,Sattahip,12.77595483,100.9035292
630,De LAPIS  Charan 81,"เลขที่ 9 Charan Sanit Wong Rd, Bang Ao, Bang Phlat, Bangkok 10700, Thailand",Bangkok,Bang Phlat,13.79206773,100.5036902
631,Deco Condominium,"27 Soi Prathumconka, แขวง บางนาใต้ Bang Na, Bangkok 10260, Thailand",Bangkok,Bang Na,13.66030777,100.5985432
632,Del Mare Bangsaray Beachfront,"Beach Rd, Bang Sare, Sattahip District, Chon Buri 20250, Thailand",Chonburi,Sattahip,12.77341893,100.901005
633,Denim Jatujak,"54 Soi Vibhavadi Rangsit 3, Chom Phon, Chatuchak, Bangkok 10900, Thailand",Bangkok,Chatuchak,13.79749233,100.5570423
634,Deves Mansion,"QGC2+J5X, Wat Sam Phraya, Phra Nakhon, Bangkok 10300, Thailand",Bangkok,Phra Nakhon,13.77162203,100.5004954
635,Diamant Condominium,"Hwy Chiang Mai-Lampang Frontage Rd, Fa Ham, Mueang Chiang Mai District, Chiang Mai 50000, Thailand",Chiang Mai,Mueang Chiang Mai,18.81127533,99.00737693
636,Diamond Ratchada,"Huai Khwang MRT Station, 198, 84 Ratchadaphisek Rd, Huai Khwang, Bangkok 10310, Thailand",Bangkok,Huai Khwang,13.77462053,100.5740059
637,Diamond Ratchada City Plus,"192 Ratchadaphisek 12 Alley, Huai Khwang, Bangkok 10310, Thailand",Bangkok,Huai Khwang,13.77505203,100.5745131
638,Diamond Ratchada Cool House,"Huai Khwang MRT Station, 198, 84 Ratchadaphisek Rd, Huai Khwang, Bangkok 10310, Thailand",Bangkok,Huai Khwang,13.77462053,100.5740059
639,Diamond Suites,"15 Thappraya Rd, Pattaya City, Bang Lamung District, Chon Buri 20150, Thailand",Chonburi,Bang Lamung,12.91202263,100.8721441
640,Diamond Suites Resort Condominium,"Thappraya Rd, Pattaya City, Bang Lamung District, Chon Buri 20150, Thailand",Chonburi,Bang Lamung,12.91224693,100.8721072
641,Diamond Sukhumvit,"1558, 1558 Sukhumvit Road, Phra Khanong, Khlong Toei, Bangkok 10110, Thailand",Bangkok,Khlong Toei,13.70835383,100.5990854
642,Diamond Tower,"427/5 อาคารไดมอนด์ทาวเวอร์ Si Lom, Bang Rak, Bangkok 10500, Thailand",Bangkok,Bang Rak,13.72485293,100.5293621
643,Diana Estates,"234 Soi Buakhao, Pattaya City, Bang Lamung District, Chon Buri 20260, Thailand",Chonburi,Bang Lamung,12.93079147,100.8861989
644,Dlux Condominium,"100 ถนน ปฏัก Chalong, Mueang Phuket District, Phuket 83100, Thailand",Phuket,Mueang Phuket,7.823243332,98.33857773
645,Dolce Udomsuk,"522 Soi Sukhumvit 103/2, Bang Na Nuea, Bang Na, Bangkok 10260, Thailand",Bangkok,Bang Na,13.67603203,100.6122946
646,Domus 16,"19 Soi Sukhumvit 16, Khlong Toei, Bangkok 10110, Thailand",Bangkok,Khlong Toei,13.73336893,100.5613536
647,Domus 18,"24 Sukhumvit Soi 18, Khlong Toei, Bangkok 10110, Thailand",Bangkok,Khlong Toei,13.73332353,100.5623205
648,Dormy Residences Sriracha,"58 Moo.4, T.Surasak A Si Racha, Chon Buri 20110, Thailand",Chonburi,Si Racha,13.15342203,100.9199958
649,Double Lake Condominium,"83 Double Lake Building, Banmai, Pakkred, Nonthaburi 11120, Thailand",Nonthaburi,Pak Kret,13.92533473,100.5444556
650,Double U,"588 Lad Prao Wanghin Rd, Lat Phrao, Bangkok 10230, Thailand",Bangkok,Lat Phrao,13.81823323,100.5921378
651,Downtown Forty Nine,"Sukhumvit 49/12 Alley, Khlong Tan Nuea, Watthana, Bangkok 10110, Thailand",Bangkok,Watthana,13.74017603,100.5780639
652,Dream Boxx,"JR4P+986, ซอย, Bang Sao Thong, Bang Sao Thong District, Samut Prakan 10540泰國",Samut Prakan,Bang Sao Thong,13.60592243,100.8357497
653,Dream Lampang,"Phrabat, Mueang Lampang District, Lampang 52000, Thailand",Lampang,Mueang Lampang,18.28940063,99.50918323
654,Dsign Ratchada,"68 ซอย 20 มิถุนา ถนนมิถุนา20 แขวงสามเสนนอก เขตห้วยขวาง Bangkok 10320, Thailand",Bangkok,Huai Khwang,13.78800913,100.5832352
655,Duliya Chalisma,"531/82 อาคาร 3 พระราม 9 ชอย 13 Rama IX Rd, Bang Kapi, Huai Khwang, Bangkok 10310",Bangkok,Huai Khwang,13.75927039,100.5877105
656,Duliya Place Condo,"Duriya Place, Lat Phrao, Bangkok 10230",Bangkok,Lat Phrao,13.80945372,100.6037872
657,Dusit D2 Residence Hua Hin,"12, 156 Soi Muban Nhongkhae, Nong Kae, Hua Hin District, Prachuap Khiri Khan 77110, Thailand",Prachuap Khiri Khan,Hua Hin,12.54358517,99.96234579
658,Dusit Grand Condo View,"825, ตำบล หนองปลือ, Bang Lamung District, Chon Buri 20150, Thailand",Chonburi,Bang Lamung,12.89339213,100.8770502
659,Dusit Grand Park,"825 หมู่ที่ 12 Muang Pattaya, Bang Lamung District, Chon Buri 20150, Thailand",Chonburi,Bang Lamung,12.89961953,100.8802253
660,Dusit Grand Park 2,"889 Thepprasit 9 Aly, Pattaya City, Bang Lamung District, Chon Buri 20150, Thailand",Chonburi,Bang Lamung,12.89931863,100.8803176
661,Dusit Residences and Dusit Parkside,"946 Rama IV Rd, Khwaeng Silom, Bang Rak, Bangkok 10500, Thailand",Bangkok,Bang Rak,13.72840233,100.53723
662,ECOresort Bang Saray,"Bang Sare, Sattahip District, Chon Buri 20250, Thailand",Chonburi,Sattahip,12.76312963,100.8979352
663,EDGE Central Pattaya,"Pattaya City, Bang Lamung District, Chon Buri 20150, Thailand",Chonburi,Bang Lamung,12.93096233,100.8822774
664,Ease Rama 2,"2/1 พระรามที่ 2 ซอย 54 เเยก 4-2 Samae Dam, Bang Khun Thian, Bangkok 10150, Thailand",Bangkok,Bang Khun Thian,13.67019157,100.4368458
665,Ease Ratchada,"43 Soi Ratchadaphisek 32, Chan Kasem, Chatuchak, Bangkok 10900, Thailand",Bangkok,Chatuchak,13.81779293,100.5795135
666,East Tower,"1/121 East tower Bang Na, Bangkok 10260, Thailand",Bangkok,Bang Na,13.67099727,100.6354464
667,Eastern Seaboard City,"Unnamed Rd, Pluak Daeng, Pluak Daeng District, Rayong 21140, Thailand",Rayong,Pluak Daeng,13.01930183,101.1506365
668,Eastern Tower Codominium,"Eastern Tower Condominium Tesaban 2 Jermjomphol Rd., Tambol Sriracha Si Racha, Si Racha District, Chon Buri 20110, Thailand",Chonburi,Si Racha,13.16965633,100.9267113
669,Eastwood Park,"Chaloem Phrakiat Ratchakan Thi 9 Rd, เเขวง หนองบอน Prawet, Bangkok 10250, Thailand",Bangkok,Suan Luang,13.68710187,100.6623133
670,Econdo Bang Saray,"Bang Sare, Sattahip District, Chon Buri 20250, Thailand",Chonburi,Sattahip,12.76378433,100.8967991
671,Edge Sukhumvit 23,"6 Soi Sukhumvit 23, Khlong Toei Nuea, Watthana, Bangkok 10110, Thailand",Bangkok,Watthana,13.73656153,100.5630909
672,Eight Thonglor Residence,"88/36 อาคาร เอททองหล่อ 88/36, Thong Lo Rd, Khlong Tan Nuea, Watthana, Bangkok 10110, Thailand",Bangkok,Watthana,13.73048393,100.5819389
673,Ekamai Condo Town,"33 Soi Saman Chan, Phra Khanong, Khlong Toei, Bangkok 10110, Thailand",Bangkok,Watthana,13.71612317,100.5830298
674,Ekbodin Condominium,"เลขที่ 4 เอกบดินทร์ คอนโดมิเนียม ถนนลาดพร้าว Lat Phrao 17 Alley, Chom Phon, Chatuchak, Bangkok 10900, Thailand",Bangkok,Chatuchak,13.80780293,100.5718006
675,Ekceed Tongkrad Lamchabang,"208/67, หมู่8 Bang Lamung Sub-district, Bang Lamung District, Chon Buri 20150, Thailand",Chonburi,Bang Lamung,13.05010443,100.9284128
676,Ekpailin Park Rattanathibet,"68/100 หมู่ 8 Rattanathibet Rd, Tambon Bang Kraso, Mueang Nonthaburi District, Nonthaburi 11000泰國",Nonthaburi,Mueang Nonthaburi,13.86630284,100.4985696
677,Ekpailin Tower Srinakarin,"1146 Srinakarin Rd, Samrong Nuea, Mueang Samut Prakan District, Samut Prakan 10270泰國",Samut Prakan,Mueang Samut Prakan,13.63794364,100.633425
678,Ekthani Condotown,"78 เอกธานีคอนโดทาวน์ Bang Phun, เมือง Pathum Thani 12000, Thailand",Pathum Thani,Mueang Pathum Thani,13.97840003,100.5900686
679,El Cielo Khonkaen,"FR6H+PHR, Tambon Nai Mueang, Mueang Khon Kaen District, Khon Kaen 40000, Thailand",Khon Kaen,Mueang Khon Kaen,16.46185963,102.8288896
680,Elegance @ Cosy Beach,"Kasetsin, Muang Pattaya, Bang Lamung District, Chang Wat Chon Buri 20150, Thailand",Chonburi,Bang Lamung,12.91769623,100.8598719
681,Elements Srinakarin,"MJWW+F4W, Soi Suphaphong 3 Yaek 4, Nong Bon, Prawet, Bangkok 10250, Thailand",Bangkok,Prawet,13.69623173,100.6453265
682,Elephant Tower,"3300 Phahonyothin Road, Chom Phon, Chatuchak, Bangkok 10900, Thailand",Bangkok,Chatuchak,13.82527463,100.5683675
683,Elio Condo,"99 Soi Sukhumvit 64, Bang Chak, Phra Khanong, Bangkok 10260, Thailand",Bangkok,Phra Khanong,13.68519707,100.6041179
684,Elio Del Moss Phaholyothin 34,"19/445 Soi Phahon Yothin 34, Sena Nikhom, Chatuchak, Bangkok 10900, Thailand",Bangkok,Chatuchak,13.83908173,100.5826057
685,Elio Del Nest,"393 Udom Suk Rd, Bang Na Nuea, Bang Na, Bangkok 10260, Thailand",Bangkok,Bang Na,13.67877813,100.6160591
686,Elio Del Ray,"95 Soi Sukhumvit 64, Bang Chak, Phra Khanong, Bangkok 10260, Thailand",Bangkok,Phra Khanong,13.68471423,100.6042843
687,Elio Sathorn - Wutthakat,"22 10 ถนน กัลปพฤกษ์ Bang Kho, Chom Thong, Bangkok 10150, Thailand",Bangkok,Chom Thong,13.71540933,100.4648057
688,Elite Residence Rama 9 - Srinakarin,"5 Srinakarin Rd, Hua Mak, Bang Kapi District, Bangkok 10240, Thailand",Bangkok,Bang Kapi,13.74790053,100.6463954
689,Elite Salaya,"89 Salaya, Phutthamonthon District, Nakhon Pathom 73170, Thailand",Nakhon Pathom,Phutthamonthon,13.79704523,100.3122293
690,Embassy Place Bearing 45,"JJWP+C7H, Baring 45 Alley, Bang Na Tai, Bang Na, Bangkok 10260, Thailand",Bangkok,Bang Na,13.64605923,100.6357232
691,Emerald Palace,"Pattaya City, Bang Lamung District, Chon Buri 20150, Thailand",Chonburi,Bang Lamung,12.91844873,100.8604869
692,Emerald Residence Ratchada,"QHGC+3J9, Soi Suk Ruam Kan, Din Daeng, Bangkok 10400, Thailand",Bangkok,Din Daeng,13.77515443,100.571608
693,Empire House,"47 ซอย ปรีดี พนมยงค์ 31 Khlong Tan Nuea, Watthana, Bangkok 10110, Thailand",Bangkok,Watthana,13.72959177,100.5911094
694,Empire Sawasdee,"235 อาคารเอ็มไพร์สวัสดี ซ.สุขุมวิท 31 Soi Sawatdi, Khlong Tan Nuea, Watthana, Bangkok 10110, Thailand",Bangkok,Watthana,13.74235243,100.568066
695,Episode Phahol - Sapanmai,"45 Thep Rak Rd, Anusawari, Bang Khen, Bangkok 10220, Thailand",Bangkok,Bang Khen,13.89010023,100.6072215
696,Equinox,"345 Equinox phahol vibha Viphawadeerangsit road, Chom Phon, Chatuchak, Bangkok 10900, Thailand",Bangkok,Chatuchak,13.80917963,100.5590072
697,Escent  Chiangmai,"98 Escent Condominium, Fa Ham, Mueang Chiang Mai District, Chiang Mai 50000, Thailand",Chiang Mai,Mueang Chiang Mai,18.80540593,99.02006483
698,Escent Hatyai,"XFVJ+8GH, Kanjanavanich Rd, Kho Hong, Hat Yai District, Songkhla 90110, Thailand",Songkhla,Hat Yai,6.993316532,100.4813575
699,Escent Khon Kean,"199 Thanon Mittraphap, Tambon Nai Mueang, Mueang Khon Kaen District, Khon Kaen 40000, Thailand",Khon Kaen,Mueang Khon Kaen,16.43533713,102.825697
700,Escent Korat 2,"X4X8+9G7, Thanon Mittraphap Frontage, Muen Wai, Mueang Nakhon Ratchasima District, Nakhon Ratchasima 30000, Thailand",Nakhon Ratchasima,Mueang Nakhon Ratchasima,14.99841493,102.1162826
701,Escent Nakhonratchasima,"X4X8+9G7, Thanon Mittraphap Frontage, Muen Wai, Mueang Nakhon Ratchasima District, Nakhon Ratchasima 30000, Thailand",Nakhon Ratchasima,Mueang Nakhon Ratchasima,14.99841607,102.1162813
702,Escent Park Ville Chiangmai,"Escent Ville Fa Ham, Mueang Chiang Mai District, Chiang Mai 50000, Thailand",Chiang Mai,Mueang Chiang Mai,18.81034957,99.01772229
703,Escent Rayong,"89 64 ถนน เชิงเนิน Tambon Choeng Noen, Mueang Rayong District, Rayong 21000, Thailand",Rayong,Mueang Rayong,12.69438043,101.2688591
704,Escent Rayong 2,"M7V9+V2F, Tambon Choeng Noen, Mueang Rayong District, Rayong 21000, Thailand",Rayong,Mueang Rayong,12.69470063,101.2675112
705,Escent Ubonratchathani,"6RQF+QXG, Chaeramae, Mueang Ubon Ratchathani District, Ubon Ratchathani 34000, Thailand",Ubon Ratchathani,Mueang Ubon Ratchathani,15.23943183,104.8249534
706,Escent Ville Ayutthaya,"Ayothaya Rd, คลองสวนพลู Amphoe Phra Nakhon Si Ayutthaya, Phra Nakhon Si Ayutthaya 13000, Thailand",Phra Nakhon Si Ayutthaya,Phra Nakhon,14.33177653,100.6089852
707,Escent Ville Chiangmai,"Escent Ville Fa Ham, Mueang Chiang Mai District, Chiang Mai 50000, Thailand",Chiang Mai,Mueang Chiang Mai,18.81034843,99.01772363
