project_id,project_name,address,ceiling_height,completed_on,no_building,no_floor,total_units,utility_fee,bicycle_parking,cctv,convenience_store,fingerprint_access_control,fitness,jacuzzi,keycard_access_control,kids_playground,library,lift,massage_room,park_bbq_areas,parking,restaurant,sauna,security,shuttle_service,steam_room,swimming_pool,wifi,lat,lon,gg_address
71,Aequa Sukhumvit 49,Watthana Bangkok,- m.,2012.0,1.0,28.0,153.0,,0,1,0,0,1,0,1,0,0,1,0,1,1,0,1,1,0,0,1,1,13.727680732432392,100.5754730259578,"19, 1 Sukhum Vit 49, Klogton-Nua Watthana, Bangkok 10110, Thailand"
72,Aeras Pattaya,Bang Lamung Chonburi,2.7 m.,2018.0,2.0,4.0,309.0,,0,1,0,0,1,0,1,1,0,1,0,1,1,0,0,1,0,1,1,0,12.871145132432392,100.8896353259578,"258/1 หมู่ที่ 12 Bang Lamung District, Chon Buri 20150, Thailand"
73,Aguston Sukhumvit 22,Khlong Toei Bangkok,,2009.0,2.0,24.0,269.0,,0,1,0,0,1,0,1,0,1,1,0,1,1,0,1,1,1,1,1,1,13.725067032432392,100.5647482259578,"140 Sukhumvit Alley 22, Khlong Tan, Khlong Toei, Bangkok 10110, Thailand"
74,Airlink Residence,Lat Krabang Bangkok,2.6 m.,2013.0,6.0,8.0,933.0,35.0,0,1,0,0,1,0,1,0,0,1,0,1,1,0,0,1,1,0,1,0,13.736357432432392,100.7446364259578,"52/1 Rom Klao Rd, Khlong Sam Prawet, Lat Krabang, Bangkok 10520, Thailand"
75,Airport Home Condominium,Muang Chiang Mai Chiang Mai,,2015.0,2.0,5.0,292.0,,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,18.7512683324324,98.9557311259578,"440-444 หมู่ที่ 10 Mae Hia, Mueang Chiang Mai District, Chiang Mai 50100, Thailand"
76,Akesin Place,Muang Nonthaburi Nonthaburi,- m.,2012.0,1.0,25.0,315.0,,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,13.857763932432391,100.5267902259578,"90 Ngamwongwan Rd, Bang Khen, Mueang Nonthaburi District, Nonthaburi 11000, Thailand"
77,Akesin Tower,Muang Nonthaburi Nonthaburi,,2008.0,4.0,8.0,960.0,,0,1,1,0,1,0,1,0,0,1,0,1,1,0,0,1,0,0,0,0,13.857763932432391,100.5267902259578,"90 Ngamwongwan Rd, Bang Khen, Mueang Nonthaburi District, Nonthaburi 11000, Thailand"
78,Akra Collection Layan,Thalang Phuket,,2023.0,,2.0,,,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,1,1,0,1,0,8.040660932432392,98.2890389259578,"Soi Layan 9, Choeng Thale, Thalang District, Phuket 83110, Thailand"
79,Aland Condo,Sai Noi Nonthaburi,,2022.0,2.0,8.0,691.0,,0,1,0,0,1,0,1,0,0,1,0,1,1,0,0,1,0,0,1,1,13.974422332432392,100.3358071259578,"91 หมู่ 3 Bang Kruai - Sai Noi Rd, Sai Noi, Sai Noi District, Nonthaburi 11150, Thailand"
80,Alisha Court,Bang Na Bangkok,- m.,2011.0,2.0,8.0,70.0,30.0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,13.650521332432392,100.6301549259578,"Sukhumvit 107 Rd 799 Bearing 33 Aly, Samrong Nuea, Mueang Samut Prakan District, Samut Prakan 10270, Thailand"
81,Aliss Tiwanon,Muang Nonthaburi Nonthaburi,- m.,2008.0,2.0,12.0,396.0,,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,13.855046332432392,100.5193562259578,"Talat Kwan, Mueang Nonthaburi District, Nonthaburi 11000, Thailand"
82,Aliss Wongwianyai,Khlong San Bangkok,- m.,2009.0,2.0,5.0,79.0,,0,1,0,0,1,0,1,0,0,1,0,1,1,0,0,1,0,0,1,0,13.723279432432392,100.4927348259578,"385 Somdet Phra Chao Tak Sin Rd, Khlong Ton Sai, Khlong San, Bangkok 10600, Thailand"
83,All Season Mansion,Pathum Wan Bangkok,,1998.0,1.0,33.0,206.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.739525432432393,100.5484390259578,"Witthayu Rd, Lumphini, Pathum Wan, Bangkok 10330, Thailand"
84,Altitude Define,Bang Rak Bangkok,2.45 m.,2019.0,1.0,8.0,59.0,65.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.731817432432392,100.5261195259578,"199 ถนน สี่พระยา Si Phraya, Bang Rak, Bangkok 10500, Thailand"
85,Altitude Samyan - Silom,Bang Rak Bangkok,- m.,2018.0,1.0,8.0,97.0,,0,1,0,0,1,0,1,0,1,1,0,1,1,0,1,1,0,0,1,0,13.731818032432392,100.5260768259578,"195 ถนน สี่พระยา Si Phraya, Bang Rak, Bangkok 10500, Thailand"
86,Altitude Symphony Charoenkrung,Bang Kho Laem Bangkok,2.65 m.,2021.0,1.0,21.0,99.0,80.0,0,1,0,0,1,1,1,1,1,1,0,1,1,0,0,1,0,0,1,0,13.709952532432393,100.5139348259578,"51 1 ซอย จันทน์ 44 Wat Phraya Krai, Bang Kho Laem, Bangkok 10120, Thailand"
87,Altitude Unicorn Sathorn - Thapra,Thon Buri Bangkok,2.7 m.,2021.0,1.0,34.0,711.0,45.0,0,1,1,1,1,0,1,0,0,1,0,1,1,0,0,1,0,0,1,0,13.712921732432392,100.4748756259578,"789 Ratchaphruek Rd, Talat Phlu, Thon Buri, Bangkok 10600, Thailand"
88,Amanta Lumpini,Sathon Bangkok,,2009.0,1.0,61.0,286.0,40.0,0,1,0,0,1,0,1,1,0,1,0,1,1,0,1,1,0,0,1,0,13.723017932432391,100.5511658259578,"K1144 Rama IV Rd, Thung Maha Mek, Sathon, Bangkok 10120, Thailand"
