project_id,project_name,address,ceiling_height,completed_on,no_building,no_floor,total_units,utility_fee,bicycle_parking,cctv,convenience_store,fingerprint_access_control,fitness,jacuzzi,keycard_access_control,kids_playground,library,lift,massage_room,park_bbq_areas,parking,restaurant,sauna,security,shuttle_service,steam_room,swimming_pool,wifi
1761,Play Condominium,Muang Chiang Mai Chiang Mai,,,,,,,1,1,0,0,1,0,1,0,0,1,0,0,1,0,1,1,0,0,1,1
1762,Ploen Ploen Bangbuathong - Westgate,Bang Bua Thong Nonthaburi,,2019.0,1.0,8.0,77.0,,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0
1763,Ploen Ploen Bangbuathong - Westgate 2,Bang Bua Thong Nonthaburi,,2019.0,1.0,8.0,74.0,,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0
1764,Ploen Ploen Chaengwattana - Pak Kret,Pak Kret Nonthaburi,- m.,2020.0,1.0,8.0,77.0,,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0
1765,Ploen Ploen Pak Kret - Chaengwattana 2,Pak Kret Nonthaburi,- m.,2021.0,1.0,8.0,70.0,,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0
1766,Ploen Ploen Plus Rangsit - Future Park,Thanyaburi Pathumthani,- m.,2020.0,2.0,8.0,189.0,35.0,0,1,0,0,0,0,1,0,0,1,0,1,1,0,0,1,0,0,0,0
1767,Ploen Ploen Rama 5 - Ratchaphruek,Bang Kruai Nonthaburi,,2022.0,1.0,8.0,77.0,,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0
1768,Ploen Ploen Rama 7 - Bang Kruai 1,Bang Kruai Nonthaburi,,2022.0,1.0,8.0,77.0,,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0
1769,Ploen Ploen Rama 7 - Bang Kruai 2,Bang Kruai Nonthaburi,,2023.0,1.0,8.0,77.0,,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0
1770,"Ploen Ploen Rangsit - Workpoint 1,2",Muang Pathum Thani Pathumthani,- m.,2019.0,2.0,8.0,154.0,,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0
1771,"Ploen Ploen Rangsit - Workpoint 3,4",Muang Pathum Thani Pathumthani,,2019.0,2.0,8.0,154.0,,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0
1772,Ploen Ploen Rangsit - Workpoint 5,Muang Pathum Thani Pathumthani,,2023.0,1.0,8.0,77.0,,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0
1773,Ploen Ploen Ratchaphruek - Pinklao 2,Bang Kruai Nonthaburi,,2022.0,2.0,8.0,154.0,,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0
1774,Ploen Ploen Samakee - Tiwanon,Pak Kret Nonthaburi,,2019.0,1.0,7.0,78.0,,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0
1775,Ploen Ploen Sanambinnam - Rattanathibet,Muang Nonthaburi Nonthaburi,,2020.0,1.0,8.0,77.0,,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0
1776,Ploen Ploen Tiwanon - Pakkred 2,Pak Kret Nonthaburi,- m.,2018.0,1.0,8.0,77.0,,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0
1777,Ploenchit Terrace,Pathum Wan Bangkok,,1993.0,1.0,9.0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1778,Plum Chaengwattana - Donmuang,Lak Si Bangkok,,2024.0,2.0,8.0,486.0,45.0,0,1,0,0,1,0,1,0,0,1,0,1,1,0,0,1,0,0,1,0
1779,Plum Condo Bangkae,Bang Khae Bangkok,2.45 m.,2014.0,2.0,8.0,284.0,39.0,0,1,1,0,1,0,1,0,0,1,0,1,1,0,0,1,0,0,1,1
1780,Plum Condo Bangyai Station,Bang Yai Nonthaburi,2.55 m.,2016.0,7.0,8.0,1870.0,35.0,0,1,0,0,1,0,1,0,1,1,0,1,1,0,0,1,0,0,1,0
1781,Plum Condo Central Station,Bang Yai Nonthaburi,2.55 m.,2018.0,1.0,38.0,1208.0,40.0,0,1,0,0,1,0,1,1,1,1,0,1,1,0,1,1,0,1,1,0
1782,Plum Condo Central Station Phase 2,Bang Yai Nonthaburi,2.55 m.,2018.0,1.0,38.0,1013.0,40.0,1,1,1,0,1,0,1,0,1,1,0,1,1,0,1,1,0,0,1,0
1783,Plum Condo Chaengwattana Station,Lak Si Bangkok,2.45 m.,2016.0,3.0,8.0,809.0,40.0,0,1,1,0,1,0,1,0,0,1,0,1,1,1,0,1,0,0,1,0
1784,Plum Condo Chaengwattana Station Phase 2,Lak Si Bangkok,2.45 m.,2017.0,7.0,5.0,970.0,40.0,0,1,1,0,1,1,1,1,1,1,0,1,1,0,0,1,0,0,1,0
1785,Plum Condo Chaengwattana Station Phase 3,Lak Si Bangkok,2.45 m.,2018.0,5.0,8.0,1154.0,,0,1,1,0,1,0,1,1,1,1,0,1,1,0,0,1,0,0,1,1
1786,Plum Condo Chokchai 4,Lat Phrao Bangkok,2.55 m.,2018.0,2.0,8.0,496.0,,0,1,0,0,1,0,1,0,0,1,0,1,1,0,0,1,0,0,1,0
1787,Plum Condo Extra Rama 2,Chom Thong Bangkok,2.4 m.,2016.0,3.0,8.0,682.0,40.0,1,1,0,0,1,0,1,1,0,1,0,1,1,0,0,1,0,0,1,0
1788,Plum Condo Ladprao 101,Bang Kapi Bangkok,2.6 m.,2015.0,12.0,5.0,712.0,29.0,0,1,0,0,0,0,1,0,0,1,0,1,1,0,0,1,0,0,0,1
1789,Plum Condo Laemchabang,Si Racha Chonburi,- m.,2015.0,2.0,8.0,372.0,35.0,0,1,1,0,1,0,1,0,0,1,0,1,1,0,0,1,0,0,1,1
1790,Plum Condo Mix Chaengwattana,Lak Si Bangkok,2.45 m.,2019.0,5.0,8.0,1123.0,,1,1,1,0,1,0,1,1,1,1,0,1,1,1,0,1,0,0,1,1
1791,Plum Condo Nawamin,Bueng Kum Bangkok,- m.,2013.0,3.0,8.0,711.0,,0,1,1,0,1,0,1,0,1,1,0,1,1,1,0,1,0,0,0,0
1792,Plum Condo Park Rangsit,Khlong Luang Pathumthani,- m.,2016.0,4.0,8.0,1044.0,40.0,1,1,0,0,1,0,1,0,1,1,0,1,1,0,0,1,0,0,1,0
1793,Plum Condo Phaholyothin 89,Thanyaburi Pathumthani,2.5 m.,2016.0,4.0,8.0,,,0,1,1,0,0,0,1,0,0,1,0,1,1,1,0,1,0,0,0,1
1794,Plum Condo Pinklao Station,Bang Phlat Bangkok,2.55 m.,2018.0,1.0,22.0,964.0,45.0,0,1,1,0,1,1,1,1,1,1,0,1,1,0,1,1,0,0,1,0
1795,Plum Condo Ram 60 Interchange,Bang Kapi Bangkok,2.45 m.,2018.0,8.0,8.0,960.0,40.0,0,1,1,0,1,0,1,1,1,1,0,1,1,0,1,1,0,0,1,1
1796,Plum Condo Ramkhamhaeng Station,Suan Luang Bangkok,2.55 m.,2018.0,1.0,33.0,1003.0,42.0,0,1,0,0,1,0,1,0,0,1,0,1,1,0,0,1,0,0,1,0
1797,Plum Condo Rangsit Alive,Khlong Luang Pathumthani,2.45 m.,2020.0,4.0,8.0,1032.0,,0,1,0,0,1,0,1,1,0,1,0,1,1,0,1,1,1,0,1,1
1798,Plum Condo Samakkhi,Muang Nonthaburi Nonthaburi,- m.,2016.0,4.0,8.0,899.0,,0,1,0,0,1,0,1,0,0,1,0,1,1,0,0,1,0,0,0,1
1799,Plum Condo Saphanmai Station,Sai Mai Bangkok,2.45 m.,2020.0,3.0,8.0,681.0,48.0,0,1,0,0,1,0,1,1,0,1,0,1,1,0,1,1,0,0,1,1
1800,Plum Condo Sukhumvit 62,Phra Khanong Bangkok,2.5 m.,2022.0,1.0,8.0,222.0,,0,1,0,0,1,0,1,0,0,1,0,1,1,0,1,1,1,0,1,0
1801,Plum Condo Sukhumvit 97.1,Phra Khanong Bangkok,2.45 m.,2021.0,2.0,8.0,425.0,57.0,0,1,0,0,1,1,1,0,0,1,0,1,1,0,1,1,1,0,1,0
1802,Plum Rama 2,Chom Thong Bangkok,,2024.0,2.0,8.0,455.0,,0,1,0,0,1,0,1,0,0,1,0,1,1,0,0,1,0,0,1,0
1803,Plus 38 Hip,Khlong Toei Bangkok,,2005.0,1.0,8.0,112.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1804,Plus 67,Watthana Bangkok,,2004.0,1.0,9.0,121.0,30.0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0
1805,Plus Condo Ayutthaya,Uthai Phra Nakhon Sri Ayutthaya,- m.,2018.0,2.0,8.0,294.0,,1,1,1,0,1,0,1,0,1,1,0,1,1,0,0,1,0,0,1,0
1806,Plus Condo Ayutthaya Park,Phra Nakhon Sri Ayutthaya Phra Nakhon Sri Ayutthaya,- m.,2020.0,1.0,8.0,647.0,,0,1,1,0,1,0,1,1,0,1,0,0,1,0,0,1,0,0,1,0
1807,Plus Condo Hat Yai,Hat Yai Songkhla,- m.,2014.0,2.0,8.0,294.0,,0,1,1,0,1,0,1,0,0,1,0,1,1,0,0,1,0,0,1,0
1808,Plus Condo Hat Yai 2,Hat Yai Songkhla,- m.,2015.0,1.0,25.0,582.0,,0,1,1,0,1,0,1,0,1,1,0,1,1,0,0,1,0,0,1,0
1809,Plus Condo Hatyai 30 m.,Hat Yai Songkhla,- m.,2020.0,1.0,32.0,477.0,,0,1,1,0,1,0,0,1,0,1,0,1,1,0,0,1,0,0,1,0
1810,Plus Condo Korat,Muang Nakhon Ratchasima Nakhon Ratchasima,- m.,2021.0,1.0,30.0,839.0,,0,1,0,0,1,0,1,1,0,1,0,1,1,0,0,1,0,0,1,0
1811,Plus Condo Phuket,Kathu Phuket,- m.,2012.0,1.0,8.0,157.0,,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0
1812,Plus Condo Phuket 2,Kathu Phuket,- m.,2013.0,2.0,8.0,273.0,,0,1,1,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0
1813,Plus Condo Suratthani,Muang Surat Thani Surat Thani,- m.,2015.0,3.0,8.0,475.0,,0,1,1,0,1,0,1,0,0,1,0,1,1,0,0,1,0,0,1,1
1814,Plus Sriracha,Si Racha Chonburi,- m.,2018.0,1.0,25.0,459.0,,0,1,0,0,1,0,1,0,1,1,0,1,1,0,0,1,1,0,1,0
1815,Polis Condo Suksawat 64,Phra Pra Daeng Samut Prakarn,2.40 m.,2019.0,2.0,8.0,459.0,40.0,0,1,1,0,1,0,1,1,0,1,0,1,1,0,0,1,0,0,1,0
1816,Polo Park,Pathum Wan Bangkok,,,1.0,19.0,47.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1817,Pool Thip Condo House,Lak Si Bangkok,,1993.0,1.0,8.0,275.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1818,Popular Condo,Pak Kret Nonthaburi,,,,,,,1,1,1,0,0,0,1,1,0,1,0,1,1,1,0,1,0,0,0,1
1819,Porch Land 2 Jomtien Resort,Bang Lamung Chonburi,,2014.0,2.0,8.0,154.0,,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0
1820,Pornpiya Mansion,Bang Sue Bangkok,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
