unit_type_id,project_id,project_name,unit_type
2303,1103,Laguna Beach Resort Jomtien,2 Bedroom (N/A sq.m.)
2304,1103,Laguna Beach Resort Jomtien,1 Bedroom  (N/A sq.m.)
2305,1103,Laguna Beach Resort Jomtien,Studio (N/A sq.m.)
2306,1104,Laguna Heights,No information
2307,1105,Lake Avenue,1 Bedroom (75.0 sq.m.)
2308,1105,Lake Avenue,2 Bedroom (126.0 sq.m.)
2309,1106,Lake Green,No information
2310,1107,Lakeshore North Condominium,No information
2311,1108,Laksi Housing Authority,No information
2312,1109,Lampang Housing Authority,No information
2313,1110,Lamtong Condo,No information
2314,1111,Landmark @MRTA Station,3 Bedroom (60.0 - 73.0 sq.m.)
2315,1111,Landmark @MRTA Station,1 Bedroom (28.0 - 39.0 sq.m.)
2316,1111,Landmark @MRTA Station,2 Bedroom (40.0 - 54.50 sq.m.)
2317,1112,Landmark Residence,2 Bedroom (73.0 - 77.0 sq.m.)
2318,1112,Landmark Residence,1 Bedroom  (55.25 - 56.0 sq.m.)
2319,1112,Landmark Residence,Studio (31.50 sq.m.)
2320,1113,Langsuan Ville,No information
2321,1114,Lannanakorn Condo Town,No information
2322,1115,Lapa Place,No information
2323,1116,Las Colinas,No information
2324,1117,Lasalle Park,No information
2325,1118,Latitude Condo,Studio (27.0 - 29.0 sq.m.)
2326,1118,Latitude Condo,1 Bedroom (36.0 - 60.0 sq.m.)
2327,1118,Latitude Condo,Studio Plus  (27.0 - 55.0 sq.m.)
2328,1119,Laya resort phuket,Studio (24.55 - 48.71 sq.m.)
2329,1119,Laya resort phuket,1 Bedroom (42.73 - 101.88 sq.m.)
2330,1120,Layan Green Park,Duplex (108.81 - 109.40 sq.m.)
2331,1120,Layan Green Park,3 Bedrooms (120.90 sq.m.)
2332,1120,Layan Green Park,2 Bedrooms (91.10 sq.m.)
2333,1120,Layan Green Park,Studio (30.30 sq.m.)
2334,1120,Layan Green Park,1 Bedroom (45.40 sq.m.)
2335,1121,Lazio Sriyan,No information
2336,1122,Le Beach Bang Sarey,2 Bedroom (72.27 - 83.04 sq.m.)
2337,1122,Le Beach Bang Sarey,1 Bedroom (38.0 - 42.89 sq.m.)
2338,1123,Le Celeste Rama 9 - Srinakarin,No information
2339,1124,Le Champs Premium,2 Bedrooms (72.0 - 84.0 sq.m.)
2340,1124,Le Champs Premium,1 Bedroom (44.0 - 49.50 sq.m.)
2341,1125,Le Chateau,No information
2342,1126,Le Chateau Mansion,No information
2343,1127,Le Cosi,No information
2344,1128,Le Cote Sukhumvit 14,2 Bedroom (60.0 - 63.0 sq.m.)
2345,1128,Le Cote Sukhumvit 14,1 Bedroom (28.0 - 53.0 sq.m.)
2346,1129,Le Cote Thonglor 8,Duplex (70.50 sq.m.)
2347,1129,Le Cote Thonglor 8,2 Bedroom (48.50 - 81.50 sq.m.)
2348,1129,Le Cote Thonglor 8,1 Bedroom (30.50 - 53.0 sq.m.)
2349,1129,Le Cote Thonglor 8,Penthouse (78.50 - 102.50 sq.m.)
2350,1130,Le Crique Sukhumvit 64/2,1 Bedroom (30.44 - 51.59 sq.m.)
2351,1130,Le Crique Sukhumvit 64/2,2 Bedroom (61.08 - 61.36 sq.m.)
2352,1131,Le Luk,1 Bedroom  (50.63 - 53.34 sq.m.)
2353,1131,Le Luk,2 Bedroom (79.13 - 82.53 sq.m.)
2354,1131,Le Luk,Studio (32.64 - 39.01 sq.m.)
2355,1132,Le Monaco Residence Ari,Duplex (250.0 sq.m.)
2356,1132,Le Monaco Residence Ari,3 Bedroom (155.32 - 202.90 sq.m.)
2357,1132,Le Monaco Residence Ari,2 Bedroom (124.34 - 274.63 sq.m.)
2358,1132,Le Monaco Residence Ari,1 Bedroom (80.26 - 123.99 sq.m.)
2359,1133,Le Nice Ekamai,No information
2360,1134,Le Premier 1,No information
2361,1135,Le Premier 2,No information
2362,1136,Le Raffine Jambu Dvipa Sukhumvit 39,No information
2363,1137,Le Raffine Jambunuda Sukhumvit 31,Duplex (N/A sq.m.)
2364,1137,Le Raffine Jambunuda Sukhumvit 31,Penthouse (N/A sq.m.)
2365,1138,Le Raffine Sukhumvit 24,Penthouse (166.0 - 370.0 sq.m.)
2366,1139,Le Rich @ Aree station,No information
2367,1140,Le Rich @ Rama 3,1 Bedroom  (33.49 - 48.0 sq.m.)
2368,1140,Le Rich @ Rama 3,Studio (29.22 - 32.22 sq.m.)
2369,1140,Le Rich @ Rama 3,2 Bedroom (45.56 - 68.53 sq.m.)
2370,1141,Le Rich Ratchada - Sutthisarn,2 Bedroom (55.0 sq.m.)
