place_type,place_name,link_name,num_rent,num_sale,num_avg,flag
BTS Silom Line,BTS Chong Nonsi,bts-chong-nonsi,2881,1888,2384.5,3
School,Amnuay Silpa School,amnuay-silpa-school,3079,1549,2314.0,3
Bangkok,Bang Kapi,bang-kapi,3513,1083,2298.0,3
MRT Orange Line,MRT Pratu Nam,mrt-pratu-nam,3017,1531,2274.0,3
MRT Blue line,MRT Lumphini,mrt-lumphini,2739,1727,2233.0,4
Grey Line,Ban Kluai Tai Station,ban-kluai-tai-station,2955,1451,2203.0,4
Grey Line,Thonglor 10 Station,thonglor-10-station,2814,1540,2177.0,4
MRT Blue line,MRT Phahon Yothin,mrt-phahon-yothin,3615,713,2164.0,4
Nonthaburi,"Lak Mueang Shrine, Nonthaburi",lak-mueang-shrine-nonthaburi,3429,879,2154.0,4
BTS Sukhumvit Line,BTS Ladphrao Intersection,bts-ladphrao-intersection,3536,699,2117.5,4
Chonburi,Bang Lamung Chonburi,bang-lamung-chonburi,982,3214,2098.0,4
Grey Line,Phetchaburi-Thonglor Station,phetchaburi-thonglor-station,2660,1349,2004.5,4
MRT Orange Line,MRT MRTA,mrt-mrta,2973,1028,2000.5,4
School,St. Joseph Bangna,st-joseph-bangna,3077,852,1964.5,4
MRT Blue line,MRT Huai Khwang,mrt-huai-khwang,2746,1130,1938.0,4
Bangkok,Phaya Thai,phaya-thai,2586,1282,1934.0,4
University/College,Ramkhamhaeng University,ramkhamhaeng-university,2942,906,1924.0,4
School,La Salle College,la-salle-college,3014,805,1909.5,4
MRT Blue line,MRT Thailand Cultural Centre,mrt-thailand-cultural-centre,2440,1340,1890.0,4
School,Ladprao Bilingual School,ladprao-bilingual-school,2895,847,1871.0,4
Bangkok,Tawanna,tawanna,2796,937,1866.5,4
Nonthaburi,Pantip Plaza Ngamwongwan,pantip-plaza-ngamwongwan,2883,781,1832.0,4
School,Udom Kasem Business,udom-kasem-business,2818,759,1788.5,4
School,Santichon Islamic School,santichon-islamic-school,2763,774,1768.5,4
School,Wat Samian Nari School,wat-samian-nari-school,2779,755,1767.0,4
BTS Silom Line,BTS Talat Phlu,bts-talat-phlu,2855,669,1762.0,4
BTS Silom Line,BTS Ratchadamri,bts-ratchadamri,2012,1489,1750.5,4
BTS Sukhumvit Line,BTS Mo Chit,bts-mo-chit,2756,703,1729.5,4
Bangkok,Metropolitan Electricity Authority Bang Khen,metropolitan-electricity-authority-bang-khen,2709,688,1698.5,4
School,Rajinibon School,rajinibon-school,2645,715,1680.0,4
